"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers","missing_Sqft"
"6680",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4896,16,NA,"A1","32-21 162ND STREET                       ","            ",11358,"1","0","1"," 6,270 "," 2,360 ",1930,1,"A1"," 1,353,000 ","8/2/2016",1353000,2360,6270,0,FALSE
"6682",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4900,26,NA,"A1","163-40 25TH AVENUE                       ","            ",11357,"1","0","1"," 3,500 "," 1,500 ",1950,1,"A1"," 995,000 ","3/20/2017",995000,1500,3500,0,FALSE
"6684",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4901,68,NA,"A1","163-15 26TH   AVENUE                     ","            ",11358,"1","0","1"," 3,800 "," 1,302 ",1940,1,"A1"," 600,000 ","8/12/2016",6e+05,1302,3800,0,FALSE
"6685",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4902,141,NA,"A0","26-20 BAYSIDE LANE                       ","            ",11358,"1","0","1"," 4,757 "," 1,527 ",1950,1,"A0"," 700,000 ","10/5/2016",7e+05,1527,4757,0,FALSE
"6687",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4906,29,NA,"A1","27-31 164 STREET                         ","            ",11358,"1","0","1"," 4,000 "," 1,308 ",1935,1,"A1"," 841,000 ","1/5/2017",841000,1308,4000,0,FALSE
"6688",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4907,14,NA,"A2","27-18 166TH   STREET                     ","            ",11358,"1","0","1"," 4,000 "," 2,025 ",1960,1,"A2"," 880,000 ","9/2/2016",880000,2025,4000,0,FALSE
"6689",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4908,39,NA,"A5","163-03 32ND AVENUE                       ","            ",11358,"1","0","1"," 2,317 "," 1,190 ",1930,1,"A5"," 700,000 ","1/26/2017",7e+05,1190,2317,0,FALSE
"6690",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4908,42,NA,"A5","29-51 163RD STREET                       ","            ",11358,"1","0","1"," 2,375 "," 1,190 ",1930,1,"A5"," 703,000 ","12/15/2016",703000,1190,2375,0,FALSE
"6691",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4908,57,NA,"A5","29-21 163RD STREET                       ","            ",11358,"1","0","1"," 1,710 "," 1,530 ",1940,1,"A5"," 343,000 ","8/29/2016",343000,1530,1710,0,FALSE
"6692",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4910,29,NA,"A1","29-48 166TH   STREET                     ","            ",11358,"1","0","1"," 3,000 "," 1,355 ",1920,1,"A1"," 780,000 ","8/31/2016",780000,1355,3000,0,FALSE
"6694",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4913,31,NA,"A1","32-39 165TH   STREET                     ","            ",11358,"1","0","1"," 3,880 "," 1,833 ",1940,1,"A1"," 749,000 ","7/8/2016",749000,1833,3880,0,FALSE
"6696",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4916,44,NA,"A5","25-46 BAYSIDE LANE                       ","            ",11358,"1","0","1"," 1,056 "," 928 ",1950,1,"A5"," 595,000 ","6/29/2016",595000,928,1056,0,FALSE
"6697",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4917,29,NA,"A1","166-24 26TH AVE                          ","            ",11358,"1","0","1"," 3,800 "," 1,624 ",1940,1,"A1"," 900,000 ","3/16/2017",9e+05,1624,3800,0,FALSE
"6698",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4917,29,NA,"A1","166-24 26TH   AVENUE                     ","            ",11358,"1","0","1"," 3,800 "," 1,624 ",1940,1,"A1"," 552,900 ","11/29/2016",552900,1624,3800,0,FALSE
"6699",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4918,16,NA,"A5","27-22 167TH   STREET                     ","            ",11358,"1","0","1"," 2,000 "," 1,480 ",1940,1,"A5"," 800,000 ","6/17/2016",8e+05,1480,2000,0,FALSE
"6701",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4918,24,NA,"A1","27-42 167TH   STREET                     ","            ",11358,"1","0","1"," 3,807 "," 2,090 ",1935,1,"A1"," 922,000 ","8/1/2016",922000,2090,3807,0,FALSE
"6702",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4922,39,NA,"A1","32-19 166TH   STREET                     ","            ",11358,"1","0","1"," 4,000 "," 1,446 ",1930,1,"A1"," 980,000 ","3/24/2017",980000,1446,4000,0,FALSE
"6703",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4928,1,NA,"A1","29-01 169TH STREET                       ","            ",11358,"1","0","1"," 4,875 "," 2,188 ",1940,1,"A1"," 908,888 ","6/21/2016",908888,2188,4875,0,FALSE
"6705",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4929,20,NA,"A1","32-30 169 STREET                         ","            ",11358,"1","0","1"," 4,500 "," 1,342 ",1920,1,"A1"," 968,000 ","9/21/2016",968000,1342,4500,0,FALSE
"6706",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4931,24,NA,"A5","170-11 29TH   AVENUE                     ","            ",11358,"1","0","1"," 2,000 "," 1,600 ",1935,1,"A5"," 730,000 ","8/11/2016",730000,1600,2000,0,FALSE
"6707",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4933,13,NA,"A1","29-16 171ST STREET                       ","            ",11358,"1","0","1"," 4,242 "," 1,776 ",1940,1,"A1"," 945,000 ","12/16/2016",945000,1776,4242,0,FALSE
"6708",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4935,1,NA,"A1","170-04 32ND AVENUE                       ","            ",11358,"1","0","1"," 4,560 "," 1,334 ",1935,1,"A1"," 830,000 ","11/17/2016",830000,1334,4560,0,FALSE
"6710",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4935,26,NA,"A5","170-11 33RD AVENUE                       ","            ",11358,"1","0","1"," 2,120 "," 1,568 ",1930,1,"A5"," 759,000 ","9/14/2016",759000,1568,2120,0,FALSE
"6712",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4936,1,NA,"A5","32-09 171ST   STREET                     ","            ",11358,"1","0","1"," 2,542 "," 1,700 ",1935,1,"A5"," 880,000 ","10/19/2016",880000,1700,2542,0,FALSE
"6713",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4938,18,NA,"A5","30-02 UTOPIA PARKWAY                     ","            ",11358,"1","0","1"," 1,920 "," 1,024 ",1950,1,"A5"," 645,000 ","5/12/2016",645000,1024,1920,0,FALSE
"6716",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4940,19,NA,"A5","32-36 190TH   STREET                     ","            ",11358,"1","0","1"," 2,050 "," 968 ",1950,1,"A5"," 660,000 ","5/19/2016",660000,968,2050,0,FALSE
"6717",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4941,10,NA,"A1","190-07 33RD   AVENUE                     ","            ",11358,"1","0","1"," 4,672 "," 2,044 ",1925,1,"A1"," 1,150,000 ","11/18/2016",1150000,2044,4672,0,FALSE
"6722",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4983,23,NA,"A1","145-18 33RD   AVENUE                     ","            ",11354,"1","0","1"," 4,480 "," 2,216 ",1930,1,"A1"," 950,000 ","7/15/2016",950000,2216,4480,0,FALSE
"6723",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4985,15,NA,"A1","33-17 146TH STREET                       ","            ",11354,"1","0","1"," 4,500 "," 1,592 ",1925,1,"A1"," 760,000 ","10/7/2016",760000,1592,4500,0,FALSE
"6727",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4990,15,NA,"A2","33-11 149TH   PLACE                      ","            ",11354,"1","0","1"," 5,100 "," 2,126 ",1955,1,"A2"," 960,000 ","2/24/2017",960000,2126,5100,0,FALSE
"6729",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4991,31,NA,"A1","33-10 150TH   PLACE                      ","            ",11354,"1","0","1"," 4,400 "," 1,534 ",1920,1,"A1"," 997,885 ","1/12/2017",997885,1534,4400,0,FALSE
"6731",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4992,29,NA,"A1","33-14 MURRAY LANE                        ","            ",11354,"1","0","1"," 4,320 "," 1,963 ",1910,1,"A1"," 928,000 ","11/17/2016",928000,1963,4320,0,FALSE
"6732",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5001,20,NA,"A1","150-50 34TH AVENUE                       ","            ",11354,"1","0","1"," 3,904 "," 1,621 ",1935,1,"A1"," 976,662 ","7/21/2016",976662,1621,3904,0,FALSE
"6733",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5027,16,NA,"A1","147-21 41 AVENUE                         ","            ",11355,"1","0","1"," 2,950 "," 1,292 ",1940,1,"A1"," 233,300 ","5/16/2016",233300,1292,2950,0,FALSE
"6735",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5027,34,NA,"A1","147-12 ROOSEVELT AVENUE                  ","            ",11354,"1","0","1"," 7,400 "," 2,505 ",1910,1,"A1"," 2,700,000 ","2/15/2017",2700000,2505,7400,0,FALSE
"6736",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5033,25,NA,"A1","39-12 MURRAY STREET                      ","            ",11354,"1","0","1"," 2,425 "," 1,548 ",1915,1,"A1"," 880,000 ","8/16/2016",880000,1548,2425,0,FALSE
"6737",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5034,16,NA,"S1","40-17 150TH STREET                       ","            ",11354,"1","1","2"," 2,500 "," 1,258 ",1919,1,"S1"," 1,100,000 ","6/1/2016",1100000,1258,2500,0,FALSE
"6740",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5058,26,NA,"A1","150-18 41ST   AVENUE                     ","            ",11354,"1","0","1"," 1,800 "," 993 ",1920,1,"A1"," 710,000 ","5/4/2016",710000,993,1800,0,FALSE
"6741",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5104,127,NA,"A5","132-62 POPLE AVENUE                      ","            ",11355,"1","0","1"," 1,724 "," 1,456 ",1960,1,"A5"," 1,030,000 ","8/8/2016",1030000,1456,1724,0,FALSE
"6743",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5120,1,NA,"A0","136-19 BOOTH MEMORIAL AVE                ","            ",11355,"1","0","1"," 4,897 "," 1,575 ",1950,1,"A0"," 1,280,000 ","6/10/2016",1280000,1575,4897,0,FALSE
"6745",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5149,19,NA,"A1","137-36 JUNIPER AVENUE                    ","            ",11355,"1","0","1"," 2,500 "," 1,092 ",1910,1,"A1"," 750,000 ","1/12/2017",750000,1092,2500,0,FALSE
"6746",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5149,21,NA,"A1","137-42 JUNIPER AVENUE                    ","            ",11355,"1","0","1"," 2,500 "," 1,628 ",1920,1,"A1"," 695,000 ","11/21/2016",695000,1628,2500,0,FALSE
"6747",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5150,27,NA,"A1","137-62 KALMIA AVENUE                     ","            ",11355,"1","0","1"," 2,700 "," 1,176 ",1925,1,"A1"," 650,000 ","7/18/2016",650000,1176,2700,0,FALSE
"6748",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5150,35,NA,"A1","137-61 LABURNUM AVENUE                   ","            ",11355,"1","0","1"," 4,200 "," 1,264 ",1925,1,"A1"," 1,230,000 ","12/16/2016",1230000,1264,4200,0,FALSE
"6749",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5150,108,NA,"A5","137-12 KALMIA AVENUE                     ","            ",11355,"1","0","1"," 1,875 "," 1,156 ",1965,1,"A5"," 829,000 ","10/7/2016",829000,1156,1875,0,FALSE
"6751",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5152,26,NA,"A0","137-42 MULBERRY AVENUE                   ","            ",11355,"1","0","1"," 3,800 "," 1,122 ",1950,1,"A0"," 850,000 ","2/28/2017",850000,1122,3800,0,FALSE
"6752",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5153,17,NA,"A0","137-30 NEGUNDO AVENUE                    ","            ",11355,"1","0","1"," 3,183 "," 1,356 ",1950,1,"A0"," 920,000 ","1/23/2017",920000,1356,3183,0,FALSE
"6754",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5168,1,NA,"A1","141-29 BOOTH MEMORIAL AVE                ","            ",11355,"1","0","1"," 4,947 "," 1,248 ",1930,1,"A1"," 1,405,000 ","10/31/2016",1405000,1248,4947,0,FALSE
"6755",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5171,40,NA,"A1","142-51 BOOTH MEMORIAL AVENU              ","            ",11355,"1","0","1"," 4,100 "," 1,196 ",1940,1,"A1"," 1,160,000 ","3/15/2017",1160000,1196,4100,0,FALSE
"6756",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5173,117,NA,"A5","146-19 56TH ROAD                         ","            ",11355,"1","0","1"," 2,538 "," 1,653 ",1935,1,"A5"," 790,000 ","10/4/2016",790000,1653,2538,0,FALSE
"6757",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5173,121,NA,"A5","146-09 56TH ROAD                         ","            ",11355,"1","0","1"," 2,561 "," 1,653 ",1935,1,"A5"," 830,000 ","11/16/2016",830000,1653,2561,0,FALSE
"6759",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5178,151,NA,"A5","152-12 PECK AVE                          ","            ",11355,"1","0","1"," 1,975 "," 1,429 ",1955,1,"A5"," 840,000 ","10/4/2016",840000,1429,1975,0,FALSE
"6760",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5187,19,NA,"A1","42-45 BOWNE STREET                       ","            ",11355,"1","0","1"," 5,225 "," 2,613 ",1920,1,"A1"," 750,000 ","1/24/2017",750000,2613,5225,0,FALSE
"6761",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5201,13,NA,"A2","45-20 ROBINSON STREET                    ","            ",11355,"1","0","1"," 3,742 "," 1,008 ",1965,1,"A2"," 930,000 ","8/11/2016",930000,1008,3742,0,FALSE
"6762",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5201,46,NA,"A1","45-35 UNION STREET                       ","            ",11355,"1","0","1"," 2,500 "," 1,370 ",1910,1,"A1"," 850,000 ","5/23/2016",850000,1370,2500,0,FALSE
"6763",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5203,49,NA,"A1","45-27  BOWNE STREET                      ","            ",11355,"1","0","1"," 2,375 "," 1,485 ",1910,1,"A1"," 1,100,000 ","10/7/2016",1100000,1485,2375,0,FALSE
"6764",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5204,43,NA,"A2","45-41 SMART STREET                       ","            ",11355,"1","0","1"," 4,000 "," 1,092 ",1955,1,"A2"," 850,000 ","9/9/2016",850000,1092,4000,0,FALSE
"6765",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5205,20,NA,"S1","45-06 PARSONS BLVD                       ","            ",11355,"1","1","2"," 1,900 "," 2,400 ",1931,1,"S1"," 1,350,000 ","3/10/2017",1350000,2400,1900,0,FALSE
"6766",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5206,17,NA,"A1","146-34 GEORGIA ROAD                      ","            ",11355,"1","0","1"," 4,000 "," 1,420 ",1920,1,"A1"," 730,000 ","7/8/2016",730000,1420,4000,0,FALSE
"6767",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5206,28,NA,"A1","45-40 PARSONS BOULEVARD                  ","            ",11355,"1","0","1"," 5,050 "," 1,545 ",1920,1,"A1"," 1,100,000 ","11/22/2016",1100000,1545,5050,0,FALSE
"6770",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5208,5,NA,"A0","140-12 HOLLY AVENUE                      ","            ",11355,"1","0","1"," 3,567 "," 1,000 ",1950,1,"A0"," 999,000 ","10/6/2016",999000,1000,3567,0,FALSE
"6772",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5213,41,NA,"A5","146-17 JASMINE AVENUE                    ","            ",11355,"1","0","1"," 2,000 "," 1,520 ",1925,1,"A5"," 600,000 ","6/9/2016",6e+05,1520,2000,0,FALSE
"6773",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5215,2,NA,"A5","146-04 KALMIA AVE                        ","            ",11355,"1","0","1"," 2,510 "," 1,188 ",1950,1,"A5"," 880,000 ","1/12/2017",880000,1188,2510,0,FALSE
"6774",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5215,16,NA,"A1","146-24 KALMIA AVENUE                     ","            ",11355,"1","0","1"," 3,000 "," 1,194 ",1930,1,"A1"," 775,000 ","10/14/2016",775000,1194,3000,0,FALSE
"6775",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5215,23,NA,"A0","46-58 PARSONS BOULEVARD                  ","            ",11355,"1","0","1"," 4,509 "," 1,767 ",1950,1,"A2"," 980,000 ","7/6/2016",980000,1767,4509,0,FALSE
"6776",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5216,36,NA,"A5","48-07 KISSENA BOULEVARD                  ","            ",11355,"1","0","1"," 1,476 "," 1,683 ",1940,1,"A5"," 866,000 ","11/18/2016",866000,1683,1476,0,FALSE
"6779",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5217,23,NA,"A1","141-05 NEGUNDO AVENUE                    ","            ",11355,"1","0","1"," 2,500 "," 1,088 ",1960,1,"A1"," 650,000 ","9/21/2016",650000,1088,2500,0,FALSE
"6780",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5218,15,NA,"A2","47-28 BOWNE STREET                       ","            ",11355,"1","0","1"," 3,159 "," 1,610 ",1950,1,"A2"," 793,000 ","8/31/2016",793000,1610,3159,0,FALSE
"6781",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5223,45,NA,"A5","140-04 OAK AVENUE                        ","            ",11355,"1","0","1"," 2,242 "," 1,190 ",1955,1,"A5"," 820,000 ","9/16/2016",820000,1190,2242,0,FALSE
"6785",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5232,1,NA,"A1","52-05 ROBINSON STREET                    ","            ",11355,"1","0","1"," 5,000 "," 1,872 ",1930,1,"A1"," 1,190,000 ","12/23/2016",1190000,1872,5000,0,FALSE
"6787",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5238,60,NA,"A9","33-38 154TH   STREET                     ","            ",11354,"1","0","1"," 2,500 "," 864 ",1940,1,"A9"," 640,000 ","9/23/2016",640000,864,2500,0,FALSE
"6788",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5240,22,NA,"A5","33-41 155TH   STREET                     ","            ",11354,"1","0","1"," 3,375 "," 2,042 ",1925,1,"A5"," 780,000 ","8/5/2016",780000,2042,3375,0,FALSE
"6789",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5240,34,NA,"A1","33-13 155TH ST                           ","            ",11354,"1","0","1"," 5,050 "," 1,585 ",1925,1,"A1"," 375,000 ","7/1/2016",375000,1585,5050,0,FALSE
"6790",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5244,14,NA,"A1","33-55 159TH   STREET                     ","            ",11358,"1","0","1"," 6,000 "," 2,075 ",1925,1,"A1"," 1,088,000 ","10/12/2016",1088000,2075,6000,0,FALSE
"6791",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5244,48,NA,"A1","33-12 160TH STREET                       ","            ",11358,"1","0","1"," 6,000 "," 1,251 ",1925,1,"A1"," 925,000 ","10/26/2016",925000,1251,6000,0,FALSE
"6793",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5246,51,NA,"A1","33-16 162ND   STREET                     ","            ",11358,"1","0","1"," 6,000 "," 1,452 ",1930,1,"A1"," 968,000 ","9/8/2016",968000,1452,6000,0,FALSE
"6794",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5246,84,NA,"A1","33-80 162ND STREET                       ","            ",11358,"1","0","1"," 8,000 "," 3,984 ",1930,1,"A1"," 1,600,000 ","12/30/2016",1600000,3984,8000,0,FALSE
"6795",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5247,14,NA,"A1","33-57 162ND   STREET                     ","            ",11358,"1","0","1"," 6,000 "," 1,884 ",1925,1,"A1"," 950,000 ","12/27/2016",950000,1884,6000,0,FALSE
"6796",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5249,80,NA,"A1","3376 165TH ST                            ","            ",11358,"1","0","1"," 4,000 "," 1,460 ",1925,1,"A1"," 868,000 ","9/8/2016",868000,1460,4000,0,FALSE
"6798",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5251,51,NA,"A1","33-16 167TH   STREET                     ","            ",11358,"1","0","1"," 4,000 "," 1,584 ",1935,1,"A1"," 815,000 ","9/6/2016",815000,1584,4000,0,FALSE
"6799",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5251,68,NA,"A1","33-50 167 STREET                         ","            ",11358,"1","0","1"," 4,000 "," 1,424 ",1940,1,"A1"," 850,000 ","2/1/2017",850000,1424,4000,0,FALSE
"6802",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5253,23,NA,"A1","33-47 168 ST                             ","            ",11358,"1","0","1"," 6,000 "," 2,165 ",1935,1,"A1"," 1,230,000 ","1/20/2017",1230000,2165,6000,0,FALSE
"6805",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5255,1,NA,"A1","33-81 170TH   STREET                     ","            ",11358,"1","0","1"," 4,500 "," 2,210 ",1935,1,"A1"," 950,000 ","1/13/2017",950000,2210,4500,0,FALSE
"6806",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5255,12,NA,"A1","33-61 170TH STREET                       ","            ",11358,"1","0","1"," 4,000 "," 1,548 ",1935,1,"A1"," 790,000 ","8/19/2016",790000,1548,4000,0,FALSE
"6807",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5256,52,NA,"A2","33-14 172ND   STREET                     ","            ",11358,"1","0","1"," 6,000 "," 1,031 ",1950,1,"A2"," 725,000 ","5/27/2016",725000,1031,6000,0,FALSE
"6810",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5260,53,NA,"A2","33-63 191ST   STREET                     ","            ",11358,"1","0","1"," 6,000 "," 1,630 ",1950,1,"A2"," 770,000 ","2/22/2017",770000,1630,6000,0,FALSE
"6811",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5260,56,NA,"A1","33-59 191ST   STREET                     ","            ",11358,"1","0","1"," 4,000 "," 1,660 ",1950,1,"A1"," 800,000 ","2/15/2017",8e+05,1660,4000,0,FALSE
"6812",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5260,58,NA,"A1","33-53 191ST   STREET                     ","            ",11358,"1","0","1"," 6,000 "," 1,248 ",1925,1,"A1"," 690,000 ","2/21/2017",690000,1248,6000,0,FALSE
"6814",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5264,26,NA,"A1","35-26 154TH   STREET                     ","            ",11354,"1","0","1"," 3,000 "," 1,360 ",1925,1,"A1"," 663,407 ","12/23/2016",663407,1360,3000,0,FALSE
"6815",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5266,42,NA,"A1","39-15 MURRAY STREET                      ","            ",11354,"1","0","1"," 3,531 "," 2,064 ",1930,1,"A1"," 1,270,000 ","8/12/2016",1270000,2064,3531,0,FALSE
"6817",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5271,28,NA,"A0","35-11 155TH   STREET                     ","            ",11354,"1","0","1"," 4,040 "," 1,506 ",1950,1,"A0"," 825,000 ","1/11/2017",825000,1506,4040,0,FALSE
"6818",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5274,20,NA,"A1","35-45 158TH   STREET                     ","            ",11358,"1","0","1"," 6,000 "," 1,840 ",1925,1,"A1"," 975,000 ","11/29/2016",975000,1840,6000,0,FALSE
"6819",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5274,33,NA,"A1","35-19 158TH   STREET                     ","            ",11358,"1","0","1"," 6,000 "," 2,088 ",1930,1,"A1"," 980,000 ","7/18/2016",980000,2088,6000,0,FALSE
"6820",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5274,52,NA,"A1","35-20 159TH   STREET                     ","            ",11358,"1","0","1"," 6,000 "," 1,642 ",1925,1,"A1"," 998,000 ","5/27/2016",998000,1642,6000,0,FALSE
"6821",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5274,64,NA,"A1","35-44 159TH STREET                       ","            ",11358,"1","0","1"," 6,000 "," 2,513 ",1925,1,"A1"," 990,000 ","5/6/2016",990000,2513,6000,0,FALSE
"6823",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5280,15,NA,"A1","35-73 160TH STREET                       ","            ",11358,"1","0","1"," 5,075 "," 2,297 ",1920,1,"A1"," 1,030,000 ","11/10/2016",1030000,2297,5075,0,FALSE
"6824",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5280,91,NA,"A9","3578 161 STREET                          ","            ",11358,"1","0","1"," 3,028 "," 352 ",1930,1,"A9"," 500,000 ","9/27/2016",5e+05,352,3028,0,FALSE
"6826",4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5281,42,NA,"A1","35-27 161ST   STREET                     ","            ",11358,"1","0","1"," 6,000 "," 1,940 ",1930,1,"A1"," 1,100,000 ","10/24/2016",1100000,1940,6000,0,FALSE
