"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers","missing_Sqft"
"18632",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10700,58,NA,"A1","93-15 219 STREET                         ","            ",11428,"1","0","1"," 5,040 "," 1,450 ",1930,1,"A1"," 470,000 ","3/8/2017",470000,1450,5040,0,FALSE
"18633",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10701,8,NA,"A1","92-04 218TH   PLACE                      ","            ",11428,"1","0","1"," 2,300 "," 1,568 ",1920,1,"A1"," 483,000 ","3/2/2017",483000,1568,2300,0,FALSE
"18635",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10702,29,NA,"A1","92-48 219TH   STREET                     ","            ",11428,"1","0","1"," 4,000 "," 1,320 ",1930,1,"A1"," 385,320 ","5/25/2016",385320,1320,4000,0,FALSE
"18636",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10702,71,NA,"A1","92-35 218TH PLACE                        ","            ",11428,"1","0","1"," 4,000 "," 2,106 ",1920,1,"A1"," 469,000 ","12/15/2016",469000,2106,4000,0,FALSE
"18637",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10706,16,NA,"A1","92-66 221 STREET                         ","            ",11428,"1","0","1"," 3,300 "," 1,548 ",1920,1,"A1"," 545,000 ","9/2/2016",545000,1548,3300,0,FALSE
"18638",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10707,5,NA,"A1","92-01 220TH STREET                       ","            ",11428,"1","0","1"," 3,000 "," 1,136 ",1920,1,"A1"," 497,000 ","9/8/2016",497000,1136,3000,0,FALSE
"18640",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10713,24,NA,"A1","220-03 92ND   AVENUE                     ","            ",11428,"1","0","1"," 2,500 "," 1,264 ",1925,1,"A1"," 327,100 ","10/28/2016",327100,1264,2500,0,FALSE
"18641",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10714,9,NA,"A1","221-20 91 ROAD                           ","            ",11428,"1","0","1"," 2,500 "," 1,145 ",1930,1,"A1"," 380,000 ","10/21/2016",380000,1145,2500,0,FALSE
"18642",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10714,13,NA,"A1","91-26 221ST   PLACE                      ","            ",11428,"1","0","1"," 2,500 "," 855 ",1930,1,"A1"," 180,000 ","2/3/2017",180000,855,2500,0,FALSE
"18643",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10718,40,NA,"A1","90-29 219 STREET                         ","            ",11428,"1","0","1"," 3,900 "," 1,384 ",1940,1,"A1"," 630,000 ","2/13/2017",630000,1384,3900,0,FALSE
"18646",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10721,34,NA,"A1","221-17 91 ROAD                           ","            ",11428,"1","0","1"," 2,975 "," 840 ",1925,1,"A1"," 338,000 ","10/3/2016",338000,840,2975,0,FALSE
"18648",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10728,59,NA,"A1","94-23 221ST STREET                       ","            ",11428,"1","0","1"," 4,000 "," 1,488 ",1940,1,"A1"," 475,000 ","6/13/2016",475000,1488,4000,0,FALSE
"18651",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10734,9,NA,"A1","92-78 222ND   STREET                     ","            ",11428,"1","0","1"," 2,500 "," 1,024 ",1920,1,"A1"," 265,000 ","6/16/2016",265000,1024,2500,0,FALSE
"18652",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10736,17,NA,"A1","221-41 DAVENPORT AVENUE                  ","            ",11428,"1","0","1"," 2,500 "," 1,408 ",1920,1,"A1"," 445,000 ","8/24/2016",445000,1408,2500,0,FALSE
"18653",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10737,44,NA,"A1","221-60 92ND AVENUE                       ","            ",11428,"1","0","1"," 4,000 "," 1,120 ",1925,1,"A1"," 365,000 ","3/16/2017",365000,1120,4000,0,FALSE
"18655",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10738,14,NA,"A1","221-62 91ST   ROAD                       ","            ",11428,"1","0","1"," 3,000 "," 1,338 ",1925,1,"A1"," 360,000 ","4/10/2017",360000,1338,3000,0,FALSE
"18657",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10739,9,NA,"A1","221-52 91ST AVENUE                       ","            ",11428,"1","0","1"," 2,720 "," 1,472 ",1965,1,"A1"," 600,000 ","5/27/2016",6e+05,1472,2720,0,FALSE
"18659",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10739,39,NA,"A1","221-75 91ST   ROAD                       ","            ",11428,"1","0","1"," 2,800 "," 1,692 ",1930,1,"A1"," 540,000 ","7/19/2016",540000,1692,2800,0,FALSE
"18660",4,"QUEENS VILLAGE           ","01  ONE FAMILY DWELLINGS                    ","1",10739,45,NA,"A1","221-65 91ST   ROAD                       ","            ",11428,"1","0","1"," 2,800 "," 1,692 ",1930,1,"A1"," 315,000 ","8/17/2016",315000,1692,2800,0,FALSE
